model,hyperparameters,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
Lasso,"{'alpha': 0.0003270242804522918, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",5,6480,1296,1296,0.0,5.138888889,4.398148148,5.632716049,0.443521848,5.138888889,4.398148148,5.632716049,0.443521848,5,5,0,1.0,2.622667877,0.00335271,4.938843202,0.342017678,13.6292754,0.805069048,29.73551742,3.198684514,0.0,0,0,0,2.6,0,5,2.154065923,4.2,4,5,0.4,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.010075468,0,0,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 1.0, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,19440,3888,3888,0.0,5.005144033,4.501028807,5.555555556,0.408165317,5.005144033,4.501028807,5.555555556,0.408165317,7,7,0,0.166666667,1.184422372,4.93e-05,3.02896456,0.407803625,6.782673322,1.183479197,14.83231532,1.53393732,0.0,0,0,0,3.0,2,6,1.549193338,6.2,6,7,0.4,7.0,7,7,0.0,4,4,4,0,2,2,2,0,2,2,2,0,0.010981841,3887,3887,0.500402424
Lasso,"{'alpha': 0.01069448800053393, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",5,1311,263,262,0.4,5.035265434,3.802281369,6.870229008,1.219517943,5.035265434,3.802281369,6.870229008,1.219517943,6,6,0,6.0,1.918693405,0.000796594,4.644802707,0.662197826,10.66450309,1.080530638,30.02999455,4.351067843,0.0,0,0,0,3.6,1,6,2.154065923,5.4,5,6,0.489897949,5.6,5,6,0.489897949,4,4,4,0,2,2,2,0,1,1,1,0,0.027602376,263,263,0.673011667
Lasso,"{'alpha': 0.00013675241327079383, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",5,15766,3154,3153,0.4,5.048837747,4.75737393,5.296542975,0.17869322,5.048837747,4.75737393,5.296542975,0.17869322,6,6,0,0.5,1.519593414,0.000136264,4.592389666,0.738179427,8.342044625,0.504650891,26.56528204,4.297424843,0.0,0,0,0,3.8,2,5,1.469693846,5.0,5,5,0.0,6.0,6,6,0.0,3,3,3,0,1,1,1,0,2,2,2,0,0.013508351,1051,630,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 1.0, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'verbose': 0}",5,42766,8554,8553,0.4,4.980589063,4.688413422,5.2028528,0.175211596,4.980589063,4.688413422,5.2028528,0.175211596,6,6,0,0.166666667,1.6452355,2.11e-05,4.742970298,0.569815201,8.992641231,0.182275993,27.66311976,3.415576561,0.0,0,0,0,4.4,2,5,1.2,5.0,5,5,0.0,6.0,6,6,0.0,3,3,3,0,1,1,1,0,2,2,2,0,0.01356666,1221,950,0.500402424
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 1.0, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,4536,908,907,0.4,4.938243422,3.528114664,6.174200662,0.972084613,4.938243422,3.528114664,6.174200662,0.972084613,7,7,0,1.0,1.463637815,7.81e-07,3.553913832,0.474534913,8.346540073,0.864464554,19.99002254,2.86616142,0.0,0,0,0,3.2,2,6,1.469693846,6.2,6,7,0.4,6.6,6,7,0.489897949,4,4,4,0,2,2,2,0,2,2,2,0,0.024952627,907,907,0.500402424
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.6111111111111112, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,4536,908,907,0.4,4.916071281,3.638368247,5.622932745,0.804901874,4.916071281,3.638368247,5.622932745,0.804901874,2,2,0,1.0,1.862285591,0.000115281,4.586706413,1.045997877,8.857458832,0.259056717,27.68403769,6.188275587,0.0,0,0,0,1.2,1,2,0.4,1.4,1,2,0.489897949,1.8,1,2,0.4,1,1,1,0,0,0,0,0,0,0,0,0,0.018519721,0,0,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 1.0, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,1311,263,262,0.4,5.11044031,4.580152672,5.72519084,0.386925345,5.11044031,4.580152672,5.72519084,0.386925345,4,4,0,6.0,2.21454112,1.08e-05,4.516472494,0.675927217,8.925421277,0.715577444,23.79599817,3.980787809,0.0,0,0,0,1.4,0,3,1.356465997,3.4,3,4,0.489897949,3.4,3,4,0.489897949,3,3,3,0,1,1,1,0,0,0,0,0,0.029307308,0,0,0.673011667
Lasso,"{'alpha': 0.00013675241327079383, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,11661,2333,2332,0.4,5.068158475,4.502572899,5.831903945,0.476853202,5.068158475,4.502572899,5.831903945,0.476853202,1,1,0,0.5,0.338786675,1.62e-05,1.419684969,0.0,1.217212955,0.816983817,1.718108634,0.0,0.0,0,0,0,0.4,0,1,0.489897949,0.2,0,1,0.4,1.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.01806104,0,0,0.673011667
Lasso,"{'alpha': 0.0018701222535385973, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",5,34991,6999,6998,0.4,4.998426877,4.55844527,5.301514718,0.254861986,4.998426877,4.55844527,5.301514718,0.254861986,1,1,0,0.166666667,0.317533884,0.005073781,1.376220662,0.0,1.252635038,0.803041528,1.867505849,0.0,0.0,0,0,0,0.2,0,1,0.4,0.2,0,1,0.4,1.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.013245521,0,0,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.7666666666666666, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,3886,778,777,0.4,5.095069362,4.118404118,5.662805663,0.652967361,5.095069362,4.118404118,5.662805663,0.652967361,9,9,0,0.5,1.484574386,0.00014752,3.584982378,0.59504131,9.549753826,1.156088836,18.38463027,1.314989268,0.0,0,0,0,5.2,3,8,1.939071943,8.4,8,9,0.489897949,8.6,8,9,0.489897949,5,5,5,0,3,3,3,0,3,3,3,0,0.021909111,778,777,0.673011667
Lasso,"{'alpha': 0.0018701222535385973, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,1941,389,388,0.4,5.047703602,3.092783505,7.455012853,1.475176789,5.047703602,3.092783505,7.455012853,1.475176789,6,6,0,1.0,2.356347805,0.000339578,3.946214,0.533052276,14.14365707,1.162945331,20.94540866,1.173731581,0.0,0,0,0,2.4,0,5,2.154065923,5.4,5,6,0.489897949,5.6,5,6,0.489897949,5,5,5,0,3,3,3,0,0,0,0,0,-0.006715462,0,0,0.673011667
Lasso,"{'alpha': 0.0018701222535385973, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,7881,1577,1576,0.4,4.87238025,3.934010152,5.64362714,0.678326204,4.87238025,3.934010152,5.64362714,0.678326204,4,2,2,1.0,1.059703657,0.041743837,3.454364213,0.83088063,4.108140524,0.255019774,18.55570954,4.627062872,1.094656489,1,2,0,0.8,0,1,0.4,2.8,2,3,0.4,3.6,3,4,0.489897949,1,1,1,0,0,0,0,0,0,0,0,0,0.01966151,0,0,0.500402424
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.7666666666666666, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,19440,3888,3888,0.0,5.041152263,4.681069959,5.426954733,0.269755362,5.041152263,4.681069959,5.426954733,0.269755362,7,7,0,0.166666667,1.222617983,7.14e-06,3.031657634,0.413300873,6.857943592,0.973991057,14.8913934,1.470490981,0.0,0,0,0,4.6,2,6,1.743559577,6.6,6,7,0.489897949,7.0,7,7,0.0,4,4,4,0,2,2,2,0,2,2,2,0,0.011235953,3886,3886,0.673011667
Lasso,"{'alpha': 0.0003270242804522918, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,15766,3154,3153,0.4,5.023444974,4.598794799,5.42340628,0.363821268,5.023444974,4.598794799,5.42340628,0.363821268,11,11,0,0.5,1.07802734,2e-06,4.537551736,0.690324277,6.667474853,0.259547191,26.35981762,4.013732493,0.0,0,0,0,8.4,6,10,1.959591794,10.0,10,10,0.0,11.0,11,11,0.0,4,4,4,0,2,2,2,0,6,6,6,0,0.009466395,3154,1051,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.37777777777777777, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,11661,2333,2332,0.4,5.025284181,4.888507719,5.186455208,0.118849455,5.025284181,4.888507719,5.186455208,0.118849455,9,9,0,0.166666667,1.200181623,8.7e-07,3.513849183,0.607430531,7.965768678,1.198246333,19.11697663,1.41543897,0.0,0,0,0,7.4,5,8,1.2,8.2,8,9,0.4,9.0,9,9,0.0,4,4,4,0,2,2,2,0,4,4,4,0,0.012646164,2333,2332,0.500402424
Lasso,"{'alpha': 0.00447213595499958, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,1186,238,237,0.4,5.059036273,3.375527426,6.329113924,0.962210985,5.059036273,3.375527426,6.329113924,0.962210985,4,4,0,6.0,2.172577981,4.82e-05,4.290155239,0.59361284,12.43162825,1.131827813,25.71065302,3.425202402,0.0,0,0,0,2.0,0,4,1.673320053,3.4,3,4,0.489897949,3.8,3,4,0.4,3,3,3,0,1,1,1,0,0,0,0,0,0.029800681,0,0,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.6888888888888889, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,7881,1577,1576,0.4,5.050053272,4.505076142,5.580215599,0.389353064,5.050053272,4.505076142,5.580215599,0.389353064,8,8,0,1.0,1.135405149,0.000102384,4.583679792,0.675634163,6.649971088,0.844462037,29.12343246,4.273004819,0.0,0,0,0,5.8,4,7,1.469693846,7.2,7,8,0.4,8.0,8,8,0.0,3,3,3,0,1,1,1,0,4,4,4,0,0.016422066,1577,5,0.673011667
Lasso,"{'alpha': 0.0007820328537352371, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,3886,778,777,0.4,5.095168617,4.247104247,5.662805663,0.56702497,5.095168617,4.247104247,5.662805663,0.56702497,8,8,0,0.5,1.591300306,8.09e-05,3.660149358,0.585280936,10.05550576,1.159213826,18.26920704,1.728826021,0.0,0,0,0,3.2,2,7,1.939071943,7.8,7,8,0.4,7.4,7,8,0.489897949,5,5,5,0,3,3,3,0,2,2,2,0,0.016734044,777,777,0.500402424
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.5333333333333333, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,5831,1167,1166,0.4,5.024847103,4.373927959,5.574614065,0.455528494,5.024847103,4.373927959,5.574614065,0.455528494,9,9,0,1.0,1.195445122,1.98e-06,3.884531697,0.631155903,6.880499918,0.815527604,21.20582201,3.274399594,0.0,0,0,0,6.4,4,8,1.624807681,7.8,7,8,0.4,9.0,9,9,0.0,4,4,4,0,2,2,2,0,4,4,4,0,0.015028493,1167,1166,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 1.0, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'verbose': 0}",5,34991,6999,6998,0.4,4.966993815,4.758502429,5.387253501,0.223556483,4.966993815,4.758502429,5.387253501,0.223556483,1,1,0,0.166666667,0.73388495,0.188580623,1.6060571,0.0,1.348542534,0.36567287,1.937262205,0.0,0.0,0,0,0,0.4,0,1,0.489897949,0.0,0,0,0.0,1.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.011405568,0,0,0.673011667
Lasso,"{'alpha': 0.14624970427685605, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",5,4536,908,907,0.4,4.762129108,3.744493392,6.063947078,0.78193052,4.762129108,3.744493392,6.063947078,0.78193052,1,1,0,1.0,0.305394823,0.00264251,1.223782361,0.0,1.053848211,0.069154876,1.594614572,0.0,0.0,0,0,0,0.4,0,1,0.489897949,0.0,0,0,0.0,1.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.029244725,0,0,0.673011667
Lasso,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",5,2591,519,518,0.4,4.978686366,3.667953668,5.791505792,0.765790525,4.978686366,3.667953668,5.791505792,0.765790525,5,5,0,1.0,1.687425882,0.000145226,4.850391353,0.466457934,9.123042015,0.311945888,30.86129998,4.465485969,0.0,0,0,0,3.6,2,4,0.8,4.2,4,5,0.4,4.8,4,5,0.4,2,2,2,0,0,0,0,0,2,2,2,0,0.019068837,10,6,0.500402424
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.45555555555555555, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'verbose': 0}",5,19440,3888,3888,0.0,5.030864198,4.5781893,5.478395062,0.307181042,5.030864198,4.5781893,5.478395062,0.307181042,5,5,0,0.166666667,3.43797062,0.000532233,4.654949605,0.67503672,16.68573026,0.972709342,25.91808341,3.318254467,0.0,0,0,0,4.4,4,5,0.489897949,4.2,4,5,0.4,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.014376135,0,0,0.0
Lasso,"{'alpha': 0.01069448800053393, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",5,11661,2333,2332,0.4,4.939590733,4.37205315,5.617495712,0.466585324,4.939590733,4.37205315,5.617495712,0.466585324,4,4,0,0.166666667,0.034823602,5.57e-11,0.317560002,0.056830367,1.351805019,1.162313575,1.501239428,0.004398865,0.0,0,0,0,3.0,3,3,0.0,3.0,3,3,0.0,4.0,4,4,0.0,0,0,0,0,0,0,0,0,2,2,2,0,0.014729965,83,83,0.0
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.5333333333333333, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,3886,778,777,0.4,4.889546175,3.603603604,6.048906049,0.918192083,4.889546175,3.603603604,6.048906049,0.918192083,4,4,0,1.0,1.829409014,0.0,4.602576516,0.918005934,9.933268471,1.078191285,25.40655107,4.951163868,0.0,0,0,0,2.6,1,3,0.8,3.0,3,3,0.0,4.0,4,4,0.0,2,2,2,0,0,0,0,0,1,1,1,0,0.025794476,776,776,0.500402424
Lasso,"{'alpha': 0.029722724624699014, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,7881,1577,1576,0.4,4.98667392,4.251269036,5.774111675,0.489164995,4.98667392,4.251269036,5.774111675,0.489164995,2,1,1,1.0,0.761135892,0.003853613,1.795200391,0.0,1.13771502,0.540277531,1.667804149,0.0,1.0,1,1,0,0.6,0,1,0.489897949,0.6,0,1,0.489897949,1.6,1,2,0.489897949,0,0,0,0,0,0,0,0,0,0,0,0,0.019464909,0,0,0.673011667
Lasso,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,15766,3154,3153,0.4,4.896595748,4.345068189,5.233111323,0.378021047,4.896595748,4.345068189,5.233111323,0.378021047,1,1,0,0.5,0.809536447,0.306607,1.853842047,0.0,1.36779927,0.854898815,1.866144182,0.0,0.0,0,0,0,0.4,0,1,0.489897949,0.0,0,0,0.0,1.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.019324853,0,0,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.6888888888888889, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'verbose': 0}",5,15766,3154,3153,0.4,5.124929585,4.535363146,5.485098288,0.316507993,5.124929585,4.535363146,5.485098288,0.316507993,2,1,1,0.5,0.926199727,0.004932178,1.903982304,0.0,1.305432269,0.734062942,2.05005208,0.0,1.189012385,1,2,0,0.4,0,1,0.489897949,1.0,1,1,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.023446399,0,0,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.6111111111111112, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'verbose': 0}",5,7776,1556,1555,0.4,4.886856397,3.729903537,5.466237942,0.634204414,4.886856397,3.729903537,5.466237942,0.634204414,7,5,2,0.5,2.295440295,0.017189486,4.63616405,0.894958738,12.75362784,1.030810116,26.90306565,5.1754306,1.156912129,1,2,0,3.6,2,4,0.8,5.2,5,6,0.4,6.2,6,7,0.4,3,3,3,0,1,1,1,0,0,0,0,0,0.015979438,0,0,0.500402424
Lasso,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,6480,1296,1296,0.0,5.030864198,4.398148148,5.941358025,0.612247976,5.030864198,4.398148148,5.941358025,0.612247976,5,3,2,1.0,0.258877533,3.74e-05,2.783599187,0.596557216,1.783872877,1.199969018,6.687757405,1.143821512,1.092374994,1,2,0,3.0,2,5,1.095445115,3.6,3,4,0.489897949,4.6,4,5,0.489897949,0,0,0,0,0,0,0,0,2,2,2,0,0.034009596,1295,1295,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.8444444444444446, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,19440,3888,3888,0.0,4.948559671,4.475308642,5.684156379,0.417459744,4.948559671,4.475308642,5.684156379,0.417459744,5,5,0,0.166666667,2.684871364,0.000266362,4.656408819,0.438157447,13.00543512,0.750026422,25.89952367,3.904876169,0.0,0,0,0,4.2,4,5,0.4,4.4,4,5,0.489897949,5.0,5,5,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.013259477,0,0,0.0
Lasso,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",5,3240,648,648,0.0,5.216049383,2.932098765,6.481481481,1.270315779,5.216049383,2.932098765,6.481481481,1.270315779,9,9,0,1.0,1.935842737,2.4e-05,5.226816485,0.490914027,10.93204178,1.192636679,35.71088463,5.220966018,0.0,0,0,0,8.2,8,9,0.4,8.0,8,8,0.0,8.8,8,9,0.4,4,4,4,0,2,2,2,0,4,4,4,0,0.013510737,647,107,0.0
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.6888888888888889, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'verbose': 0}",5,31101,6221,6220,0.4,5.009491759,4.646302251,5.337620579,0.258678928,5.009491759,4.646302251,5.337620579,0.258678928,6,6,0,0.166666667,2.216329414,1.04e-06,4.493772216,0.395889171,10.56330556,0.421060835,23.68986772,3.881528522,0.0,0,0,0,4.8,3,6,0.979795897,5.0,5,5,0.0,6.0,6,6,0.0,3,3,3,0,1,1,1,0,2,2,2,0,0.012243618,10,10,0.500402424
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.9222222222222223, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,3886,778,777,0.4,4.889810854,3.084832905,5.92020592,0.981610848,4.889810854,3.084832905,5.92020592,0.981610848,8,8,0,0.5,0.024472743,1.79e-11,0.544669105,0.078266158,1.460552794,1.108048671,1.503616554,0.016860672,0.0,0,0,0,7.0,7,7,0.0,6.8,6,7,0.4,7.8,7,8,0.4,0,0,0,0,0,0,0,0,7,7,7,0,0.004562297,777,2,0.0
Lasso,"{'alpha': 0.00013675241327079383, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",5,1296,260,259,0.4,5.17047817,3.861003861,6.94980695,1.11106394,5.17047817,3.861003861,6.94980695,1.11106394,8,8,0,1.0,1.15380608,0.000163894,5.008469193,0.160749084,7.805107013,1.497109201,34.19300191,2.782350404,0.0,0,0,0,6.0,5,8,1.095445115,7.8,7,8,0.4,7.8,7,8,0.4,2,2,2,0,0,0,0,0,6,6,6,0,0.027107263,64,2,0.0
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.3, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,6480,1296,1296,0.0,4.845679012,4.62962963,5.169753086,0.209331172,4.845679012,4.62962963,5.169753086,0.209331172,4,2,2,1.0,1.237768139,0.010500598,4.724339687,1.246183234,7.484470955,0.768223739,28.24151045,9.005199963,1.092260062,1,2,0,1.8,1,4,1.166190379,2.6,2,3,0.489897949,3.6,3,4,0.489897949,1,1,1,0,0,0,0,0,0,0,0,0,0.032349345,0,0,0.673011667
